SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Street Lights,866.0,441.0,251.0,187.0,154.0,262.0,484.0,966.0,1554.0,2395.0,2636.0,2500.0,2158.0,1978.0,2091.0,1924.0,2088.0,2298.0,2382.0,2770.0,3153.0,3295.0,2958.0,1611.0
Street Name Plates,18.0,12.0,3.0,2.0,3.0,2.0,8.0,35.0,53.0,117.0,147.0,153.0,155.0,136.0,157.0,142.0,133.0,99.0,73.0,89.0,75.0,70.0,61.0,52.0
Street Signs,143.0,67.0,39.0,37.0,20.0,37.0,115.0,327.0,625.0,935.0,1086.0,1110.0,1030.0,902.0,979.0,950.0,886.0,697.0,574.0,538.0,514.0,435.0,361.0,283.0
Trade Waste,,,,,,,1.0,2.0,4.0,9.0,5.0,7.0,10.0,4.0,7.0,4.0,11.0,4.0,3.0,2.0,,2.0,1.0,1.0
Traffic Lights,40.0,18.0,12.0,7.0,10.0,20.0,42.0,149.0,267.0,293.0,256.0,247.0,247.0,246.0,273.0,266.0,231.0,215.0,169.0,149.0,145.0,114.0,117.0,82.0
Trees and Hedges RoW,5.0,2.0,,,2.0,1.0,15.0,30.0,41.0,70.0,93.0,94.0,95.0,90.0,97.0,102.0,73.0,59.0,46.0,39.0,55.0,50.0,27.0,17.0
Trees on RoW,2.0,1.0,,,,,,4.0,9.0,20.0,24.0,31.0,15.0,20.0,30.0,19.0,10.0,23.0,6.0,4.0,6.0,8.0,4.0,2.0
Trip Hazard,3.0,1.0,1.0,2.0,1.0,3.0,3.0,13.0,38.0,105.0,111.0,116.0,93.0,100.0,138.0,116.0,92.0,55.0,43.0,33.0,30.0,26.0,28.0,6.0
Utility Works,4.0,2.0,3.0,3.0,5.0,3.0,15.0,17.0,77.0,85.0,122.0,88.0,83.0,68.0,85.0,87.0,69.0,47.0,44.0,22.0,16.0,12.0,16.0,10.0
Vehicle Access,,,,,,,,1.0,,,1.0,,1.0,2.0,2.0,3.0,3.0,3.0,,2.0,1.0,,,
Zebra Crossing,1.0,,1.0,,,,,,1.0,4.0,2.0,4.0,2.0,1.0,,3.0,6.0,2.0,,4.0,4.0,3.0,2.0,1.0
