SHEF_A,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Road Markings,113.0,46.0,40.0,21.0,16.0,37.0,94.0,244.0,556.0,1069.0,1214.0,1310.0,1208.0,1212.0,1139.0,1124.0,956.0,699.0,544.0,541.0,534.0,534.0,487.0,333.0
Road Safety,1.0,,,1.0,,,5.0,9.0,17.0,49.0,64.0,52.0,44.0,44.0,53.0,46.0,31.0,15.0,7.0,11.0,13.0,15.0,11.0,1.0
Road Surface Defects,443.0,188.0,91.0,67.0,45.0,135.0,536.0,1517.0,3068.0,4990.0,5372.0,5449.0,5092.0,5136.0,5066.0,5069.0,4679.0,3454.0,2955.0,2656.0,2572.0,2226.0,1743.0,1039.0
Road Works,20.0,14.0,10.0,13.0,10.0,14.0,32.0,98.0,287.0,441.0,431.0,372.0,330.0,310.0,339.0,347.0,305.0,240.0,177.0,125.0,131.0,133.0,103.0,68.0
Road/Pavement Defects,202.0,85.0,42.0,21.0,18.0,54.0,67.0,200.0,530.0,883.0,970.0,895.0,905.0,895.0,920.0,825.0,900.0,802.0,744.0,614.0,638.0,602.0,515.0,378.0
Rubbish,557.0,308.0,165.0,108.0,89.0,133.0,595.0,1759.0,3494.0,4550.0,4464.0,4573.0,4244.0,4241.0,4087.0,4048.0,3888.0,3522.0,3267.0,2927.0,2617.0,2250.0,1773.0,1156.0
Salt Bins,1.0,,,,,,1.0,3.0,7.0,29.0,21.0,40.0,23.0,12.0,15.0,24.0,21.0,15.0,10.0,5.0,3.0,3.0,2.0,2.0
Shopping Trolley,15.0,1.0,1.0,,1.0,1.0,12.0,35.0,68.0,89.0,82.0,80.0,60.0,48.0,54.0,67.0,40.0,55.0,58.0,44.0,34.0,22.0,18.0,22.0
Sign or Marking,,,,,,,,,,3.0,,1.0,5.0,1.0,1.0,,2.0,1.0,1.0,1.0,,,,
Skips,1.0,,,1.0,,1.0,1.0,,6.0,11.0,11.0,7.0,11.0,10.0,22.0,8.0,8.0,16.0,10.0,7.0,5.0,11.0,8.0,5.0
Spillage on Road,18.0,7.0,5.0,5.0,1.0,12.0,14.0,43.0,106.0,178.0,132.0,142.0,146.0,105.0,121.0,109.0,135.0,72.0,74.0,61.0,59.0,58.0,23.0,22.0
Street Cleaning,840.0,398.0,206.0,114.0,106.0,294.0,1042.0,3388.0,6176.0,8326.0,8229.0,7665.0,7251.0,6846.0,6591.0,6478.0,6079.0,5028.0,4461.0,3980.0,3770.0,3230.0,2491.0,1742.0
Street Furniture,39.0,18.0,10.0,2.0,4.0,4.0,31.0,58.0,135.0,284.0,314.0,298.0,307.0,287.0,332.0,284.0,304.0,180.0,171.0,118.0,111.0,104.0,92.0,59.0
Street Lights,4419.0,2245.0,1180.0,880.0,676.0,1056.0,2478.0,4684.0,7654.0,11943.0,12030.0,11692.0,10598.0,9601.0,9792.0,9463.0,10439.0,11394.0,12487.0,14295.0,15061.0,15662.0,14858.0,8977.0
Street Name Plates,120.0,72.0,36.0,20.0,19.0,15.0,75.0,173.0,340.0,591.0,718.0,736.0,740.0,691.0,717.0,742.0,711.0,622.0,518.0,508.0,501.0,464.0,419.0,286.0
Street Signs,790.0,406.0,195.0,142.0,129.0,200.0,549.0,1284.0,2623.0,3897.0,4287.0,4376.0,4176.0,3885.0,4040.0,4029.0,3979.0,3316.0,2973.0,2845.0,2792.0,2555.0,2239.0,1553.0
To Let Signs,1.0,,,,,1.0,,,2.0,2.0,,1.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,,2.0,2.0
Trade Waste,1.0,,,1.0,,,5.0,15.0,21.0,18.0,20.0,26.0,28.0,15.0,23.0,13.0,21.0,13.0,8.0,9.0,6.0,9.0,3.0,6.0
Traffic Lights,300.0,158.0,68.0,50.0,56.0,95.0,223.0,774.0,1648.0,1969.0,1560.0,1442.0,1439.0,1471.0,1452.0,1420.0,1399.0,1358.0,1215.0,1079.0,1008.0,983.0,908.0,620.0
Trees and Hedges RoW,28.0,6.0,5.0,1.0,3.0,10.0,45.0,124.0,212.0,310.0,355.0,360.0,347.0,336.0,364.0,362.0,291.0,231.0,187.0,185.0,206.0,183.0,127.0,63.0
Trees on RoW,5.0,2.0,3.0,,,1.0,7.0,19.0,36.0,65.0,61.0,82.0,60.0,59.0,67.0,60.0,39.0,55.0,30.0,27.0,30.0,25.0,25.0,16.0
Trenches,,,,,,,,,,,,,,,,,1.0,,,,,,,
Trip Hazard,6.0,4.0,2.0,3.0,3.0,6.0,7.0,38.0,94.0,240.0,286.0,308.0,262.0,249.0,291.0,258.0,208.0,103.0,88.0,72.0,69.0,53.0,52.0,19.0
Untaxed Vehcile,,,1.0,,,,2.0,3.0,6.0,8.0,14.0,11.0,6.0,12.0,13.0,11.0,9.0,5.0,14.0,10.0,4.0,7.0,8.0,2.0
Utility Works,13.0,5.0,4.0,5.0,5.0,7.0,25.0,48.0,156.0,215.0,244.0,223.0,205.0,192.0,206.0,219.0,182.0,135.0,104.0,88.0,67.0,63.0,48.0,26.0
Vehicle Access,,,,,,,,1.0,,,1.0,2.0,2.0,3.0,2.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,,1.0
Verge Damage,5.0,1.0,2.0,,,2.0,7.0,11.0,41.0,70.0,95.0,94.0,70.0,69.0,66.0,65.0,72.0,30.0,23.0,27.0,23.0,29.0,17.0,8.0
Zebra Crossing,1.0,,2.0,,,,,,2.0,7.0,3.0,4.0,2.0,1.0,3.0,3.0,7.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0
